Snippet name             , Spoken form
data type                , data type
generalized data type    , gene data type
new type                 , new type
type alias               , type alias
function                 , funk
function type            , funk type
function body            , funk body
to                       , to
from                     , from
annotated expression     , anno
parenthesized expression , par
lambda                   , lam
if                       , if
let                      , let
where                    , where
tuple                    , tuple
