Spoken form, Cursorless identifier
-arg, argumentOrParameter
-attribute, attribute
-block, paragraph
-call, functionCall
-cell, notebookCell
-char, character
-class, class
-class name, className
-comment, comment
-element, xmlElement
-end tag, xmlEndTag
-file, document
-funk, namedFunction
-funk name, functionName
-if state, ifStatement
-item, collectionItem
-key, collectionKey
-lambda, anonymousFunction
line, line
-list, list
-map, map
-name, name
-regex, regularExpression
-start tag, xmlStartTag
-state, statement
-string, string
-tags, xmlBothTags
-token, token
-type, type
-value, value
word, word

# 2022-01-20 16:05:55 - New entries automatically added by cursorless
condition, condition
