Greek letter, Spoken form
α           , alpha
β           , beta
γ           , gamma
δ           , delta
ε           , epsilon
ζ           , zeta
η           , eta
θ           , theta
ι           , iota
κ           , kappa
λ           , lambda
ƛ           , barred lambda
μ           , mu
ν           , nu
ξ           , xi
ο           , omicron
π           , pi
ρ           , rho
σ           , sigma
ς           , word final sigma
τ           , tau
υ           , upsilon
φ           , fi
χ           , chi
ψ           , psi
ω           , omega
