Unicode, Spoken form
≡, equivalent
≢, not equivalent
≈, squiggle equal
≉, not squiggle equal
≋, triple squiggle equal
≅, john mayor
≇, not john mayor
→, right arrow
≤, less than or equal
∀, forall
∷, double colon
′, prime
⟨, langle
⟩, wrangle
∣, pipe
⇒, double right arrow
⊔, square cup
∘, circle
∼, simulate
∈, element of
×, times
∙, bullet
∧, logic and
¬, logic not
⊆, subset of
⟦, double lack
⟧, double rack
∨, logic or
⊓, square cap
≟, decide equal
⊎, disjoint union
∎, proof
∸, monus
↔, left right arrow
⊥, bottom
↭, squiggly left right arrow
⊤, top
⟶, long right arrow
≥, greater than or equal
≃, isomorphism
∃, exists
⊕, circle plus
⇔, double left right arrow
∩, cap
≺, squiggly less than
↑, up arrow
≗, circle equal
″, 
≮, 
ₕ, 
⊛, 
⇓, 
ᵢ, 
⋆, 
∉, 
◦, 
±, 
≰, 
‿, 
◃, 
⅀, 
─, 
∅, 
₄, 
•, 
Γ, 
◅, 
≳, 
ₐ, 
∞, 
, 
, 
⇨, 
≼, 
◇, 
ₛ, 
⊢, 
⌊, 
⌋, 
⊂, 
↠, 
⊙, 
⊐, 
⊠, 
Δ, 
ⁿ, 
≯, 
, 
↓, 
⊞, 
⋎, 
↣, 
⟪, 
⟫, 
□, 
ₜ, 
≲, 
∹, 
∁, 
ᵤ, 
↞, 
⊑, 
‴, 
Π, 
⋯, 
⊸, 
←, 
⊗, 
≔, 
∋, 
ₑ, 
ᴸ, 
ₓ, 
⌈, 
⌉, 
▻, 
⇉, 
ᵒ, 
≱, 
ᴿ, 
—, 
₆, 
⁅, 
⁆, 
⨀, 
⊡, 
∶, 
≠, 
≫, 
↗, 
↦, 
ᵐ, 
·, 
⟅, 
⟆, 
▷, 
⊇, 
∤, 
ʸ, 
ᴬ, 
≪, 
η, 
│, 
é, 
⇑, 
⋐, 
ᴮ, 
↩, 
↪, 
⤖, 
⊝, 
⊟, 
⨆, 
ⱼ, 
ʰ, 
ᵈ, 
║, 
⊈, 
⍓, 
⦇, 
⦈, 
ƛ, 
₊, 
◂, 
κ, 
ϕ, 
⊜, 
↢, 
⋃, 
̅, 
Ι, 
↝, 
↾, 
⋂, 
;, 
ˢ, 
ₖ, 
⇐, 
⊃, 
⊄, 
⊉, 
∄, 
½, 
α, 
ⁱ, 
φ, 
ᴱ, 
ᵉ, 
≻, 
⊅, 
⍟, 
ᵀ, 
ᵖ, 
⊴, 
÷, 
…, 
⊒, 
═, 
◈, 
⁇, 
≬, 
⊀, 
⊁, 
⋉, 
⋊, 
└, 
⨅, 
ï, 
̄, 
̸, 
ᵥ, 
‼, 
≄, 
┘, 
╱, 
╲, 
, 
, 
ᶜ, 
ₘ, 
⇛, 
⊘, 
⋢, 
ᴾ, 
≵, 
⍮, 
┌, 
┐, 
├, 
▴, 
▸, 
⟵, 
à, 
ó, 
ö, 
̀, 
ᵗ, 
–, 
⋮, 
⑴, 
⑵, 
┤, 
┬, 
┴, 
┼, 
⦃, 
⦄, 
