Unicode character, Spoken form
×, multiplication sign
÷, division sign
±, plus minus sign
¬, logical not
⊤, logical top
⊥, logical bottom
¼, vulgar fraction one quarter
½, vulgar fraction one half
¾, vulgar fraction three quarters
·, middle dot
⅋, turned ampersand
∀, for all
∃, there exists
∄, there does not exist
∅, empty set
∆, increment
∇, nabla
∈, element of
∉, not an element of
∊, small element of
∋, contains as member
∌, does not contain as member
∍, small contains as member
∎, end of proof
∏, nary product
∐, nary coproduct
∑, nary summation
−, minus sign
∓, minus or plus sign
∔, dot plus
∕, division slash
∖, set minus
∗, asterisk operator
∘, ring operator
∙, bullet operator
√, square root
∛, cube root
∜, fourth root
∝, proportional to
∞, infinity
∟, right angle
∠, angle
∡, measured angle
∢, spherical angle
∣, divides
∤, does not divide
∥, parallel to
∦, not parallel to
∧, logical and
∨, logical or
∩, intersection
∪, union
∫, integral
∬, double integral
∭, triple integral
∮, contour integral
∯, surface integral
∰, volume integral
∱, clockwise integral
∲, clockwise contour integral
∳, anticlockwise contour integral
∴, therefore
∵, because
∶, ratio
∷, proportion
∸, dot minus
∹, excess
∺, geometric proportion
∻, homothetic
∼, tilde operator
∽, reversed tilde
∾, inverted lazy s
∿, sine wave
≀, wreath product
≁, not tilde
≂, minus tilde
≃, asymptotically equal to
≄, not asymptotically equal to
≅, approximately equal to
≆, approximately but not actually equal to
≇, neither approximately nor actually equal to
≈, almost equal to
≉, not almost equal to
≊, almost equal or equal to
≋, triple tilde
≌, all equal to
≍, equivalent to
≎, geometrically equivalent to
≏, difference between
≐, approaches the limit
≑, geometrically equal to
≒, approximately equal to or the image of
≓, image of or approximately equal to
≔, colon equals
≕, equals colon
≖, ring in equal to
≗, ring equal to
≘, corresponds to
≙, estimates
≚, equiangular to
≛, star equals
≜, delta equal to
≝, equal to by definition
≞, measured by
≟, questioned equal to
≠, not equal to
≡, identical to
≢, not identical to
≣, strictly equivalent to
≤, less than or equal to
≥, greater than or equal to
≦, less than over equal to
≧, greater than over equal to
≨, less than but not equal to
≩, greater than but not equal to
≪, much less than
≫, much greater than
≬, between
≭, not equivalent to
≮, not less than
≯, not greater than
≰, neither less than nor equal to
≱, neither greater than nor equal to
