Replacement , Spoken form
I           , i
I'm         , i'm
I've        , i've
I'll        , i'll
I'd         , i'd
Monday      , monday
Mondays     , mondays
Tuesday     , tuesday
Tuesdays    , tuesdays
Wednesday   , wednesday
Wednesdays  , wednesdays
Thursday    , thursday
Thursdays   , thursdays
Friday      , friday
Fridays     , fridays
Saturday    , saturday
Saturdays   , saturdays
Sunday      , sunday
Sundays     , sundays
auto        , otto
talon       , Tallon
json        , Jason
wrangle     , Rangel
Wrangell    , Wrangell
format text , forma text
catchall    , catch all
filename    , file name
filepath    , file path
